"","f__Bacteroidaceae","f__Ruminococcaceae","f__Lachnospiraceae","f__Enterobacteriaceae","f__Pasteurellaceae","ref"
"1",4578,2158,576,9887,29,1365
"2",24538,16843,4741,295,38,15801
"3",22654,5043,5831,83,119,6769
"4",340,3,375,11,0,52
"5",3916,1848,2738,59,138,3503
"6",10989,1581,4144,1713,15,9928
"7",5981,123,596,79,274,261
"8",33141,95199,8823,11892,5490,35941
"9",3686,204,2176,3211,2356,778
"10",1385,2008,1059,45,26,11759
"11",23967,3086,2081,119,674,11847
"12",2167,779,1040,192,1,3107
"13",22418,7474,6997,37292,300,17272
"14",5124,698,107,236,21086,20194
"15",145,21,111,8110,1026,259
"16",55738,33401,6127,3625,7782,9589
"17",19322,98,766,2024,1703,928
"18",11926,1480,1490,39,22,977
"19",34055,3534,5347,16,1657,7246
"20",8382,1609,6031,13993,368,3169
"21",30092,9820,2421,9679,2261,9222
"22",12812,138,154,1309,4675,6773
"23",700,82,13,3,2736,2899
"24",128,217,49,986,151,478
"25",22046,12130,9482,5579,221,10412
"26",1993,2344,6193,61,4,2108
"27",44939,40107,29563,651,8931,59628
"28",10446,1295,3244,817,478,2742
"29",39692,4611,2364,2629,49479,7594
"30",11568,9341,4689,58,51,22732
"31",22583,3982,2412,34465,66,6290
"32",21437,7484,11077,2500,546,15117
"33",10061,5630,2407,462,108,3190
"34",1739,805,674,14,139,2342
"35",26611,6940,8044,274,98,5575
"36",8603,2272,1077,323,180,1561
"37",9683,1546,2199,1680,528,9306
"38",14424,4628,8054,78,80,10131
"39",14174,5588,4181,7,18,4180
"40",14693,7351,2891,32,164,7778
"41",10081,4215,3463,10,257,1050
"42",2556,698,983,267,71,824
"43",18387,3589,2933,3069,65,4093
"44",6887,1788,5293,1782,251,8015
"45",54183,48032,8792,2623,1298,22568
"46",25307,10834,4374,52,2085,18050
"47",2799,1552,912,187,33,2395
"48",29749,11318,15067,302,549,12041
"49",21672,2628,9630,9065,769,13911
"50",26881,5554,5717,49,343,4535
"51",33568,4788,13600,4928,613,36362
"52",12590,7639,4167,501,235,3896
"53",5420,1720,1860,2620,42,9085
"54",6294,3854,1974,10851,6414,2561
"55",902,762,606,0,37,236
"56",414,471,393,4497,285,1051
"57",40055,5313,18023,165,169,15692
"58",165964,271012,43461,10816,13061,26918
"59",181,16,78,166,24,128
"60",24252,14117,10455,21,39,23622
"61",11259,1814,2920,2037,262,8802
"62",18448,6777,3409,15,283,8718
"63",3704,2201,686,4452,10934,2813
"64",9390,12987,4708,197,564,9275
"65",3660,426,493,2143,16,1679
"66",5097,1099,619,19,1,1553
"67",32317,9285,4877,5390,72,3890
"68",21,5,11,3535,342,1505
"69",6700,1572,1481,9,59,3173
"70",14687,6440,3029,105,251,4787
"71",43855,106849,39166,56249,36928,3025
"72",72517,17500,9352,1436,12380,28081
"73",19210,9029,3136,2121,2512,21999
"74",4113,1758,1074,9635,5912,1343
"75",9875,2501,803,114,0,935
"76",2166,732,204,12238,314,2319
"77",6395,1354,807,29,0,4737
"78",1606,2040,501,1127,23,1013
"79",15909,4343,3170,5331,455,3116
"80",3681,478,747,88,788,5069
"81",43960,3421,6288,15230,38,7598
"82",43293,10011,8038,10,25,12855
"83",7345,1575,1761,4621,347,1011
"84",6142,698,1274,26,17,519
"85",26367,9281,5891,3087,1503,6530
"86",4,711,3761,118,465,2317
"87",7,0,2,3500,1,93
"88",8343,1517,1354,1700,78,2161
"89",1131,76,558,17,105,797
"90",9095,5345,3170,157,41,4005
"91",18506,7245,11535,961,264,19574
"92",304,27,56,10,21,57
"93",20176,5859,5106,1665,1278,3570
"94",403,364,270,3,18,138
"95",5362,6128,1197,22,1,7027
"96",84504,112663,31812,6641,241,21506
"97",161,261,170,4,18,187
"98",14378,3632,190,13533,2810,2178
"99",7962,3444,1619,30,12,5947
"100",44267,706,18744,20,14,10077
